City,Category,Business,Demand,Competition,Investment
Indore,Healthcare,Diagnostic Center,92,27,2500000
Ahmedabad,Retail,Bookstore,60,30,2800000
Kanpur,Retail,Grocery Store,51,43,4800000
Solapur,Tech,Mobile Repair,82,31,2600000
Mumbai,Food,Cloud Kitchen,76,78,4600000
Delhi,Fitness,Dance Studio,96,70,4800000
Ludhiana,Food,Bakery,86,70,1100000
Ahmedabad,Tourism,Guest House,53,44,1800000
Jabalpur,Food,Cafe,51,39,3200000
Visakhapatnam,Tourism,Travel Agency,57,66,3900000
Guwahati,Fitness,Yoga Studio,89,23,600000
Bhopal,Education,Coaching Institute,53,73,3300000
Tiruchirappalli,Tech,Software Startup,59,55,1800000
Navi Mumbai,Tourism,Guest House,72,79,4400000
Jodhpur,Healthcare,Pharmacy,96,72,2800000
Nagpur,Fitness,Gym,90,48,1900000
Ahmedabad,Food,Bakery,58,43,500000
Chennai,Tourism,Tour Guide Service,100,36,1200000
Navi Mumbai,Food,Bakery,54,61,4300000
Srinagar,Fitness,Dance Studio,58,27,1600000
Kanpur,Tourism,Tour Guide Service,73,56,3900000
Rajkot,Education,Online Course,84,20,3900000
Hyderabad,Education,Online Course,50,24,3000000
Kolkata,Education,Online Course,76,28,1900000
Bhopal,Tech,Mobile Repair,100,51,4300000
Vadodara,Healthcare,Pharmacy,86,42,4300000
Bhopal,Retail,Clothing Boutique,85,32,3600000
Kalyan,Retail,Grocery Store,77,21,4600000
Jabalpur,Food,Cloud Kitchen,55,47,3200000
Kolkata,Fitness,Yoga Studio,60,77,3200000
Nagpur,Education,Tuition Center,50,76,3100000
Bhopal,Fitness,Gym,90,22,4300000
Ahmedabad,Retail,Clothing Boutique,86,52,4600000
Kanpur,Tourism,Tour Guide Service,81,51,2800000
Amritsar,Food,Cafe,98,77,1600000
Pune,Tech,Electronics Store,98,56,2100000
Pune,Tech,Software Startup,77,73,2700000
Jaipur,Food,Cloud Kitchen,68,21,4800000
Visakhapatnam,Education,Online Course,53,74,1500000
Indore,Food,Bakery,87,43,900000
Varanasi,Education,Coaching Institute,60,67,2000000
Vijayawada,Fitness,Dance Studio,55,35,3300000
Madurai,Fitness,Dance Studio,85,38,3000000
Ludhiana,Retail,Bookstore,90,52,4400000
Indore,Tech,Mobile Repair,60,47,2900000
Kolkata,Tourism,Guest House,91,54,1100000
Aurangabad,Tech,Mobile Repair,98,21,500000
Bangalore,Fitness,Gym,86,51,1300000
Jaipur,Retail,Bookstore,69,43,3700000
Varanasi,Retail,Clothing Boutique,57,55,4200000
Aurangabad,Education,Online Course,97,44,3900000
Tiruchirappalli,Tech,Software Startup,67,21,3900000
Srinagar,Food,Restaurant,82,23,3700000
Ghaziabad,Fitness,Dance Studio,52,36,3700000
Nashik,Retail,Bookstore,71,74,2600000
Pune,Education,Coaching Institute,94,70,1200000
Varanasi,Tech,Mobile Repair,79,52,3200000
Aurangabad,Food,Cloud Kitchen,97,38,800000
Mumbai,Food,Restaurant,66,63,3200000
Vadodara,Education,Tuition Center,55,54,4500000
Hubli,Healthcare,Clinic,95,72,3500000
Hubli,Food,Restaurant,70,51,2700000
Pune,Retail,Grocery Store,74,61,3500000
Jodhpur,Retail,Grocery Store,73,69,3600000
Aurangabad,Tourism,Guest House,76,61,600000
Kanpur,Food,Cloud Kitchen,92,73,4300000
Jaipur,Tourism,Guest House,84,69,2900000
Vasai,Fitness,Yoga Studio,56,76,4000000
Jabalpur,Food,Restaurant,95,35,1800000
Kota,Tourism,Tour Guide Service,77,53,600000
Visakhapatnam,Tourism,Guest House,100,44,2600000
Rajkot,Education,Tuition Center,91,25,1900000
Nagpur,Fitness,Gym,82,27,4800000
Hubli,Tourism,Guest House,94,51,3400000
Nashik,Tourism,Travel Agency,99,79,4600000
Kanpur,Food,Restaurant,68,47,3000000
Mumbai,Healthcare,Pharmacy,72,28,1600000
Bhopal,Tech,Software Startup,50,66,3800000
Pune,Education,Tuition Center,89,64,500000
Hubli,Tourism,Tour Guide Service,54,41,3300000
Bhopal,Fitness,Yoga Studio,65,70,4100000
Hyderabad,Healthcare,Pharmacy,77,24,3400000
Jodhpur,Fitness,Gym,61,35,3000000
Howrah,Healthcare,Diagnostic Center,85,52,3400000
Srinagar,Tech,Software Startup,54,55,3800000
Pune,Tech,Software Startup,68,77,3600000
Jodhpur,Healthcare,Clinic,53,35,2800000
Solapur,Tech,Mobile Repair,77,51,3100000
Jabalpur,Fitness,Yoga Studio,84,79,3700000
Patna,Retail,Bookstore,86,31,700000
Gwalior,Tech,Electronics Store,93,48,1700000
Kolkata,Education,Coaching Institute,100,69,3900000
Kanpur,Tech,Mobile Repair,75,29,3000000
Kanpur,Retail,Clothing Boutique,56,23,4900000
Solapur,Fitness,Gym,70,80,4000000
Chennai,Food,Restaurant,84,68,3900000
Bhopal,Tech,Mobile Repair,88,51,2800000
Madurai,Healthcare,Clinic,62,42,2900000
Pune,Education,Tuition Center,98,39,2900000
Kanpur,Retail,Bookstore,98,55,1600000
Hubli,Retail,Clothing Boutique,56,47,1800000
Dhanbad,Fitness,Dance Studio,96,35,900000
Jaipur,Food,Restaurant,70,55,2700000
Coimbatore,Tourism,Travel Agency,91,77,4300000
Mysore,Tech,Mobile Repair,84,42,3300000
Nagpur,Tech,Electronics Store,61,28,1400000
Vijayawada,Food,Cloud Kitchen,87,26,5000000
Amritsar,Tech,Mobile Repair,99,46,600000
Bangalore,Healthcare,Pharmacy,68,27,4900000
Indore,Fitness,Gym,56,44,4900000
Ranchi,Education,Online Course,68,80,4800000
Faridabad,Retail,Grocery Store,75,38,4300000
Visakhapatnam,Healthcare,Clinic,99,47,2400000
Bangalore,Healthcare,Diagnostic Center,90,58,500000
Dhanbad,Fitness,Yoga Studio,98,44,3700000
Kolkata,Education,Coaching Institute,93,64,3600000
Faridabad,Tourism,Travel Agency,65,73,2500000
Mysore,Healthcare,Diagnostic Center,68,39,2200000
Ahmedabad,Food,Cafe,64,50,500000
Varanasi,Education,Online Course,65,42,1500000
Jaipur,Education,Tuition Center,57,77,3200000
Srinagar,Tech,Software Startup,77,47,4100000
Tiruchirappalli,Retail,Grocery Store,66,28,3700000
Bhopal,Healthcare,Clinic,62,65,3900000
Gwalior,Tech,Electronics Store,54,66,2900000
Bhopal,Education,Coaching Institute,94,24,3700000
Howrah,Tech,Electronics Store,98,30,2500000
